line,method,path,function_name,domain,risk,uses_storage,uses_safety,uses_mount,uses_subprocess,uses_runtime_write,candidate
286,GET,/api/system/status,system_status,runtime,low,no,no,no,no,yes,later
2325,GET,/api/backup/jobs,backup_jobs_list,backup,high,no,no,no,no,no,no
2338,GET,/api/backup/jobs/{job_id},backup_job_status,backup,high,no,no,no,no,no,no
2360,POST,/api/backup/jobs/{job_id}/cancel,backup_job_cancel,backup,high,no,no,no,yes,no,no
2445,GET,/api/backup/jobs/{job_id}/evidence,backup_job_evidence_get,backup,high,no,no,no,no,no,no
2487,POST,/api/backup/jobs/{job_id}/evidence,backup_job_evidence_collect,backup,high,no,no,no,no,no,no
2611,GET,/api/init/status,init_status,frontend_support,low,no,no,no,no,no,yes_e1
2623,GET,/api/settings,get_settings,frontend_support,medium,no,no,no,no,no,maybe
2644,POST,/api/settings,set_settings,frontend_support,medium,no,no,no,no,no,no
2701,POST,/api/settings/user-experience,set_user_experience_via_settings,frontend_support,medium,no,no,no,no,no,no
2710,GET,/api/settings/notifications/email,get_notification_email_settings,frontend_support,medium,no,no,no,no,no,maybe
2729,POST,/api/settings/notifications/email,post_notification_email_settings,frontend_support,medium,no,no,no,no,no,no
2777,POST,/api/settings/notifications/email/test,post_notification_email_test,frontend_support,medium,no,no,no,no,no,no
2797,GET,/api/presets/list,api_list_presets,unknown,medium,no,no,no,no,no,maybe
2816,POST,/api/presets/apply,api_apply_preset,unknown,medium,no,no,no,no,no,no
2863,GET,/api/logs/path,logs_path,diagnostics,low,no,no,no,no,no,yes_e1
2869,GET,/api/logs/tail,logs_tail,diagnostics,medium,no,no,no,no,no,maybe
3213,GET,/api/system/paths,get_system_paths,runtime,low,yes,yes,yes,no,no,maybe
3234,GET,/api/system/devices,get_system_devices,runtime,medium,yes,yes,yes,no,no,maybe
3485,GET,/api/radio/stream-metadata,get_radio_stream_metadata,unknown,medium,no,no,no,no,yes,maybe
3752,GET,/api/radio/logo,get_radio_logo,unknown,medium,no,no,no,no,yes,maybe
3771,GET,/api/radio/stream,get_radio_stream,unknown,medium,no,no,no,no,no,maybe
3792,GET,/api/radio/stations/search,get_radio_stations_search,unknown,medium,no,no,no,no,no,maybe
3865,GET,/api/radio/dsi-theme,get_radio_dsi_theme,unknown,medium,no,no,no,no,no,maybe
3880,POST,/api/radio/dsi-theme,set_radio_dsi_theme,unknown,medium,no,no,no,no,no,no
3912,GET,/api/radio/dsi-config/favorites,get_dsi_config_favorites,unknown,medium,no,no,no,no,no,maybe
3928,PUT,/api/radio/dsi-config/favorites,put_dsi_config_favorites,unknown,medium,no,no,no,no,no,no
3945,GET,/api/radio/dsi-config/display,get_dsi_config_display,unknown,medium,no,no,no,no,no,maybe
3960,PUT,/api/radio/dsi-config/display,put_dsi_config_display,unknown,medium,no,no,no,no,no,no
3978,GET,/api/radio/dsi-config/icons,get_dsi_config_icons,unknown,medium,no,no,no,no,no,maybe
3993,PUT,/api/radio/dsi-config/icons,put_dsi_config_icons,unknown,medium,no,no,no,no,no,no
4013,GET,/api/system/freenove-detection,get_freenove_detection,runtime,medium,no,no,no,no,no,maybe
4037,GET,/api/system/network,get_system_network,runtime,medium,no,no,no,no,no,maybe
4081,GET,/api/version,get_version,version,low,no,no,no,no,no,yes_e1
4143,GET,/api/dev-dashboard/capability-status,dev_dashboard_capability_status,dev_dashboard,low,no,no,no,no,no,no
4159,GET,/api/dev-dashboard/compact-status,dev_dashboard_compact_status,dev_dashboard,low,no,no,no,no,no,no
4171,GET,/api/dev-dashboard/status,dev_dashboard_status,dev_dashboard,low,no,no,no,no,no,no
4202,GET,/api/dev-dashboard/modules,dev_dashboard_modules,dev_dashboard,medium,no,no,no,no,yes,no
4209,GET,/api/dev-dashboard/modules/{module_id},dev_dashboard_module_detail,dev_dashboard,medium,no,no,no,no,yes,no
4216,GET,/api/dev-dashboard/evidence-index,dev_dashboard_evidence_index,dev_dashboard,medium,no,no,no,no,yes,no
4223,GET,/api/dev-dashboard/control-center-summary,dev_dashboard_control_center_summary,dev_dashboard,medium,no,no,no,no,yes,no
4241,GET,/api/dev-dashboard/manual-command-runs,dev_dashboard_manual_command_runs,dev_dashboard,medium,no,no,no,no,no,no
4251,GET,/api/dev-dashboard/backend-health,dev_dashboard_backend_health,health,low,no,no,no,no,no,no
