line,method,path,function_name,domain,risk,uses_subprocess,uses_systemctl,uses_storage,uses_safety,uses_mount,uses_dcc_aggregation,uses_file_scan,recommended_action
286,GET,/api/system/status,system_status,runtime,high,yes,no,no,no,no,no,no,keep_until_facade
2325,GET,/api/backup/jobs,backup_jobs_list,backup,high,no,yes,no,no,no,no,no,unsafe
2338,GET,/api/backup/jobs/{job_id},backup_job_status,backup,high,no,yes,no,no,no,no,no,unsafe
2360,POST,/api/backup/jobs/{job_id}/cancel,backup_job_cancel,backup,critical,no,yes,no,no,no,no,no,unsafe
2445,GET,/api/backup/jobs/{job_id}/evidence,backup_job_evidence_get,backup,high,yes,no,no,no,no,no,no,unsafe
2487,POST,/api/backup/jobs/{job_id}/evidence,backup_job_evidence_collect,backup,critical,yes,no,no,no,no,no,no,unsafe
2611,POST,/api/settings,set_settings,unknown,high,no,no,no,no,no,no,no,already_extracted
2668,POST,/api/settings/user-experience,set_user_experience_via_settings,frontend_support,high,no,no,no,no,no,no,no,unsafe
2677,POST,/api/settings/notifications/email,post_notification_email_settings,unknown,high,no,no,no,no,no,no,no,already_extracted
2725,POST,/api/settings/notifications/email/test,post_notification_email_test,unknown,high,no,no,no,no,no,no,no,unsafe
2749,POST,/api/presets/apply,api_apply_preset,unknown,high,no,no,no,no,no,no,no,unsafe
3144,GET,/api/system/paths,get_system_paths,runtime,high,yes,no,yes,no,no,no,no,keep_until_facade
3165,GET,/api/system/devices,get_system_devices,runtime,high,yes,no,yes,no,no,no,no,keep_until_facade
3416,GET,/api/radio/stream-metadata,get_radio_stream_metadata,frontend_support,low,no,no,no,no,no,no,no,keep_until_facade
3683,GET,/api/radio/logo,get_radio_logo,frontend_support,low,no,no,no,no,no,no,no,keep_until_facade
3702,GET,/api/radio/stream,get_radio_stream,frontend_support,low,no,no,no,no,no,no,no,keep_until_facade
3723,GET,/api/radio/stations/search,get_radio_stations_search,frontend_support,low,no,no,no,no,no,no,no,keep_until_facade
3796,GET,/api/radio/dsi-theme,get_radio_dsi_theme,frontend_support,low,no,no,no,no,no,no,no,keep_until_facade
3811,POST,/api/radio/dsi-theme,set_radio_dsi_theme,frontend_support,high,no,no,no,no,no,no,no,unsafe
3843,GET,/api/radio/dsi-config/favorites,get_dsi_config_favorites,frontend_support,high,yes,no,no,no,no,no,no,keep_until_facade
3859,PUT,/api/radio/dsi-config/favorites,put_dsi_config_favorites,frontend_support,high,yes,no,no,no,no,no,no,unsafe
3876,GET,/api/radio/dsi-config/display,get_dsi_config_display,frontend_support,high,yes,no,no,no,no,no,no,keep_until_facade
3891,PUT,/api/radio/dsi-config/display,put_dsi_config_display,frontend_support,high,yes,no,no,no,no,no,no,unsafe
3909,GET,/api/radio/dsi-config/icons,get_dsi_config_icons,frontend_support,high,yes,no,no,no,no,no,no,keep_until_facade
3924,PUT,/api/radio/dsi-config/icons,put_dsi_config_icons,frontend_support,high,yes,no,no,no,no,no,no,unsafe
3944,GET,/api/system/freenove-detection,get_freenove_detection,runtime,high,yes,no,no,no,no,yes,no,keep_until_core_refactor
3968,GET,/api/system/network,get_system_network,runtime,high,no,no,no,no,no,yes,no,keep_until_facade
4012,GET,/api/dev-dashboard/status,dev_dashboard_status,dev_dashboard,high,no,no,no,no,no,yes,no,keep_until_facade
4043,GET,/api/dev-dashboard/control-center-summary,dev_dashboard_control_center_summary,dev_dashboard,high,no,no,no,no,no,yes,no,keep_until_core_refactor
4061,GET,/api/dev-dashboard/backend-health,dev_dashboard_backend_health,dev_dashboard,high,no,no,no,no,no,yes,no,extract_next
4084,GET,/api/dev-dashboard/roadmap,dev_dashboard_roadmap,dev_dashboard,high,no,no,no,no,no,yes,no,keep_until_core_refactor
4103,GET,/api/dev-dashboard/rescue-build/status,dev_dashboard_rescue_build_status,rescue,high,no,no,no,no,no,no,no,unsafe
4144,GET,/api/dev-dashboard/rescue-iso/status,dev_dashboard_rescue_iso_status,rescue,high,no,no,no,no,no,no,no,unsafe
4156,POST,/api/dev-dashboard/rescue-iso/step,dev_dashboard_rescue_iso_step,rescue,critical,no,no,no,no,no,no,no,unsafe
4167,GET,/api/dev-dashboard/rescue-iso/step/{action_id},dev_dashboard_rescue_iso_step_status,rescue,high,no,no,no,no,no,no,no,unsafe
4178,POST,/api/dev-dashboard/rescue-iso/operator-commands/sudo-clean,dev_dashboard_rescue_iso_operator_commands_sudo_clean,rescue,critical,no,no,no,no,no,no,no,unsafe
4191,POST,/api/dev-dashboard/rescue-iso/operator-commands/build,dev_dashboard_rescue_iso_operator_commands_build,rescue,critical,no,no,no,no,no,no,no,unsafe
4204,GET,/api/dev-dashboard/rescue-usb/candidates,dev_dashboard_rescue_usb_candidates,rescue,high,no,no,no,no,no,no,no,unsafe
4216,GET,/api/dev-dashboard/rescue-usb/selection,dev_dashboard_rescue_usb_selection_get,rescue,high,no,no,no,no,no,no,no,unsafe
4231,POST,/api/dev-dashboard/rescue-usb/selection,dev_dashboard_rescue_usb_selection_post,rescue,critical,no,no,no,no,no,no,no,unsafe
4258,GET,/api/dev-dashboard/notifications/status,dev_dashboard_notifications_status,dev_dashboard,medium,no,no,no,no,no,no,no,extract_next
4270,GET,/api/dev-dashboard/notifications/events,dev_dashboard_notifications_events,dev_dashboard,medium,no,no,no,no,no,no,no,extract_next
4282,POST,/api/dev-dashboard/notifications/test-dashboard,dev_dashboard_notifications_test_dashboard,dev_dashboard,high,no,no,no,no,no,no,no,unsafe
4313,POST,/api/dev-dashboard/notifications/test-email,dev_dashboard_notifications_test_email,dev_dashboard,high,no,no,no,no,no,no,no,unsafe
4369,GET,/api/dev-dashboard/deploy/status,dev_dashboard_deploy_status,deploy,high,no,no,no,no,no,yes,no,unsafe
4380,POST,/api/dev-dashboard/deploy/request,dev_dashboard_deploy_request,deploy,critical,no,no,no,no,no,yes,no,unsafe
4391,GET,/api/dev-dashboard/deploy/logs,dev_dashboard_deploy_logs,deploy,high,no,no,no,no,no,yes,no,unsafe
4402,POST,/api/dev-dashboard/deploy/operator-setup-commands,dev_dashboard_deploy_operator_setup_commands,deploy,critical,no,no,no,no,no,yes,no,unsafe
4415,GET,/api/dev-dashboard/update/status,dev_dashboard_update_status,dev_dashboard,high,no,no,no,no,no,yes,no,keep_until_core_refactor
4427,GET,/api/dev-dashboard/packaging/readiness,dev_dashboard_packaging_readiness,dev_dashboard,high,no,no,no,no,no,yes,no,keep_until_core_refactor
