Module                  Size  Used by
qrtr                   49152  2
binfmt_misc            28672  1
intel_rapl_msr         20480  0
intel_rapl_common      32768  1 intel_rapl_msr
snd_sof_pci_intel_cnl    16384  0
x86_pkg_temp_thermal    20480  0
snd_sof_intel_hda_common   192512  1 snd_sof_pci_intel_cnl
intel_powerclamp       20480  0
coretemp               20480  0
soundwire_intel        49152  1 snd_sof_intel_hda_common
soundwire_generic_allocation    16384  1 soundwire_intel
soundwire_cadence      40960  1 soundwire_intel
kvm_intel             380928  0
snd_sof_intel_hda      20480  1 snd_sof_intel_hda_common
snd_sof_pci            24576  2 snd_sof_intel_hda_common,snd_sof_pci_intel_cnl
iwlmvm                385024  0
snd_sof_xtensa_dsp     16384  1 snd_sof_intel_hda_common
snd_sof               278528  2 snd_sof_pci,snd_sof_intel_hda_common
btusb                  69632  0
btrtl                  28672  1 btusb
btbcm                  24576  1 btusb
btintel                45056  1 btusb
btmtk                  16384  1 btusb
snd_sof_utils          20480  1 snd_sof
kvm                  1146880  1 kvm_intel
mac80211             1175552  1 iwlmvm
soundwire_bus         102400  3 soundwire_intel,soundwire_generic_allocation,soundwire_cadence
bluetooth             970752  6 btrtl,btmtk,btintel,btbcm,btusb
snd_soc_skl           184320  0
irqbypass              16384  1 kvm
snd_soc_hdac_hda       24576  2 snd_sof_intel_hda_common,snd_soc_skl
snd_hda_ext_core       40960  3 snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_soc_skl
snd_soc_sst_ipc        20480  1 snd_soc_skl
snd_soc_sst_dsp        40960  1 snd_soc_skl
snd_soc_acpi_intel_match    81920  3 snd_sof_intel_hda_common,snd_soc_skl,snd_sof_pci_intel_cnl
ghash_clmulni_intel    16384  0
libarc4                16384  1 mac80211
snd_soc_acpi           16384  3 snd_soc_acpi_intel_match,snd_sof_intel_hda_common,snd_soc_skl
sha256_ssse3           32768  0
snd_soc_core          348160  5 soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_soc_skl
sha1_ssse3             32768  0
snd_hda_codec_hdmi     81920  1
snd_compress           28672  1 snd_soc_core
jitterentropy_rng      16384  1
snd_hda_intel          61440  0
snd_intel_dspcfg       36864  4 snd_hda_intel,snd_sof,snd_sof_intel_hda_common,snd_soc_skl
snd_intel_sdw_acpi     20480  2 snd_sof_intel_hda_common,snd_intel_dspcfg
aesni_intel           393216  0
uvcvideo              131072  0
snd_hda_codec         184320  5 snd_hda_codec_hdmi,snd_hda_intel,snd_soc_hdac_hda,snd_soc_skl,snd_sof_intel_hda
sha512_ssse3           49152  1
sha512_generic         16384  1 sha512_ssse3
videobuf2_vmalloc      20480  1 uvcvideo
videobuf2_memops       20480  1 videobuf2_vmalloc
crypto_simd            16384  1 aesni_intel
iwlwifi               360448  1 iwlmvm
cryptd                 28672  2 crypto_simd,ghash_clmulni_intel
ctr                    16384  0
videobuf2_v4l2         36864  1 uvcvideo
snd_hda_core          122880  8 snd_hda_codec_hdmi,snd_hda_intel,snd_hda_ext_core,snd_hda_codec,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_soc_skl,snd_sof_intel_hda
videobuf2_common       73728  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
snd_hwdep              16384  1 snd_hda_codec
